2161571264 = admin_cannon, Administrator Cannon
2833566924 = fc_c_gun01_mark05, Salamanca Mk II (Class 9)
2296647887 = fc_c_gun02_mark01, Borroco (Class 5 ShieldBuster)
2833542351 = fc_c_gun02_mark02, Rapier (Class 7 ShieldBuster)
2296674511 = fc_c_gun02_mark03, Tizona del Cid (Class 9)
2296676559 = fc_c_gun02_mark05, Colada del Cid
2833579215 = fc_c_gun02_mark06, Lobera (fc_c_gun02_mark06)
2436699594 = fc_coa_gun01_mark01, Kalashnikov AK-1
2973592010 = fc_coa_gun01_mark02, Kalashnikov AK-2
2973587913 = fc_coa_gun02_mark01, Dragunov SVD-1
2436703689 = fc_coa_gun02_mark02, Dragunov SVD-2
2851892680 = fc_cor_gun01_mark01, Minion
2314998216 = fc_cor_gun01_mark02, Saker
2383495181 = fc_fa_gun01_mark01, Vulture (Class 4)
2920365069 = fc_fa_gun01_mark02, Vulture 2 (Class 5)
2383489037 = fc_fa_gun01_mark03, Vulture 3 (Class 6)
2920399885 = fc_fa_gun01_mark04, Vulture 5
2383532045 = fc_fa_gun01_mark05, Vulture 4
3118742732 = fc_g_gun01_mark01, Avenger (Class 3)
2581872844 = fc_g_gun01_mark02, Avenger Type B (Class 4)
3118748876 = fc_g_gun01_mark03, Gaia's Savior (Class 5)
2581903564 = fc_g_gun01_mark04, Gaia's Savior Type B (Class 6)
3118771404 = fc_g_gun01_mark05, Gaia's Angel
2581909708 = fc_g_gun01_mark06, Gaia's Salvation
2259895305 = fc_gc_gun01_mark01, Suncannon A (Class 4)
2796763145 = fc_gc_gun01_mark02, Suncannon B (Class 6)
2259889161 = fc_gc_gun01_mark03, Suncannon C (Class 8)
2796797961 = fc_gc_gun01_mark04, Suncannon D
3055871181 = fc_h_gun01_mark01, Drake Type A (Class 6)
2518980813 = fc_h_gun01_mark02, Drake Type B (Class 7)
3055848653 = fc_h_gun01_mark03, Drake Type C (Class 8)
2518966477 = fc_h_gun01_mark04, Drake Type D
2737619338 = fc_hf_gun01_mark01, Judgement MK1
2200747402 = fc_hf_gun01_mark02, Judgement MK2
2661610701 = fc_j_gun01_mark01, Barrager Mk I (Class 2)
3198453965 = fc_j_gun01_mark02, Barrager Mk II (Class 4)
2661588173 = fc_j_gun01_mark03, Barrager Mk III (Class 6)
3198447821 = fc_j_gun01_mark04, Barrager Mk IV
2661573837 = fc_j_gun01_mark05, Barrager Mk V
3099894030 = fc_lh_gun01_mark01, Hellflurry Mk I (Class 4)
2563038478 = fc_lh_gun01_mark02, Hellflurry Mk II (Class 5)
3099904270 = fc_lh_gun01_mark03, Hellflurry Mk III (Class 6)
2562991374 = fc_lh_gun01_mark04, Hellflurry Mk IV
3099865358 = fc_lh_gun01_mark05, Hellflurry Mk V
3058004237 = fc_lr_gun01_mark01, Azrael (Class 1)
2521107725 = fc_lr_gun01_mark02, Drail (Class 3)
3057981709 = fc_lr_gun01_mark03, Raphael (Class 4)
2521167117 = fc_lr_gun01_mark04, Usiel (Class 5)
3058032909 = fc_lr_gun01_mark05, Vassago (Class 7)
3058010381 = fc_lr_gun01_mark07, Sammael
2521056525 = fc_lr_gun01_mark08, Belial
2482237707 = fc_lwb_gun01_mark01, Devastator (Class 5)
3019083019 = fc_lwb_gun01_mark02, Adv. Devastator (Class 6)
2482215179 = fc_lwb_gun01_mark03, Eliminator (Class 7)
3019076875 = fc_lwb_gun01_mark04, Adv. Eliminator (Class 8)
2482200843 = fc_lwb_gun01_mark05, Destroyer
3009719501 = fc_m_gun01_mark01, Dublin Duster Mk I (Class 5)
2472857805 = fc_m_gun01_mark02, Dublin Duster Mk II (Class 6)
3009725645 = fc_m_gun01_mark03, Dublin Duster Mk III (Class 7)
2472814797 = fc_m_gun01_mark04, Dublin Duster Mk IV
3009690829 = fc_m_gun01_mark05, Trefoil
2930121995 = fc_ma_gun01_mark01, Demi-Culverin I (fc_ma_gun01_mark01)
2393268491 = fc_ma_gun01_mark02, Demi-Culverin II (fc_ma_gun01_mark02)
2523073857 = fc_or_gun01_mark01, Death's Hand Mk I (Class 5)
3059970369 = fc_or_gun01_mark02, Death's Hand Mk II (Class 6)
2523096385 = fc_or_gun01_mark03, Death's Hand Mk III (Class 7)
3059976513 = fc_or_gun01_mark04, Death Hand Mk IV
2523110721 = fc_or_gun01_mark05, Death Hand Mk V
3059958082 = fc_or_gun02_mark01, Reaper Mk I (Class 5)
2523086146 = fc_or_gun02_mark02, Reaper Mk II (Class 6)
3059951938 = fc_or_gun02_mark03, Reaper Mk III (Class 7)
2523120962 = fc_or_gun02_mark04, Reaper Mk IV
3059994946 = fc_or_gun02_mark05, Reaper Mk V
3148043585 = fc_ou_gun01_mark01, Dragoon Type 1 (Class 4)
2611161409 = fc_ou_gun01_mark02, Dragoon Type 2 (Class 5)
3148037441 = fc_ou_gun01_mark03, Dragoon Type 3 (Class 6)
2611204417 = fc_ou_gun01_mark04, Wyrm Type 1 (Class 8)
3148072257 = fc_ou_gun01_mark05, Wyrm Type 2 (Class 9)
2611157314 = fc_ou_gun02_mark01, Pyros Type 1 (Class 4)
3148047682 = fc_ou_gun02_mark02, Pyros Type 2 (Class 5)
2611179842 = fc_ou_gun02_mark03, Pyros Type 3 (Class 6)
3148062018 = fc_ou_gun02_mark04, Kraken Type 1 (Class 8)
2611185986 = fc_ou_gun02_mark05, Kraken Type 2 (Class 9)
2749102472 = fc_ouk_gun01_mark04, Scythe MK1
2212228488 = fc_ouk_gun01_mark05, Scythe MK2
2212214155 = fc_ouk_gun02_mark04, Sickle MK1
2749079947 = fc_ouk_gun02_mark05, Sickle MK2
3111877128 = fc_rh_gun01_mark01, Natter (Class 5)
2574976520 = fc_rh_gun01_mark02, Natter Zwei (Class 6)
3111850504 = fc_rh_gun01_mark03, Roter Blitz (Class 7)
2575040008 = fc_rh_gun01_mark04, Natterturn (Class 8)
3111905800 = fc_rh_gun01_mark05, Natterturn Zwei
2506452174 = fc_u_gun01_mark01, Protector Mk I (Class 4)
3043299534 = fc_u_gun01_mark02, Protector Mk II (Class 6)
2506425550 = fc_u_gun01_mark03, Protector Mk III (Class 8)
3043354830 = fc_u_gun01_mark04, Protector Mk IV
2988811471 = fc_x_gun01_mark01, Scorpion (Class 2)
2451953871 = fc_x_gun01_mark02, Adv. Scorpion (Class 3)
2988821711 = fc_x_gun01_mark03, Tarantula (Class 5)
2451906767 = fc_x_gun01_mark04, Adv. Tarantula (Class 6)
2988782799 = fc_x_gun01_mark05, Suntiger
2451917007 = fc_x_gun01_mark06, Black Widow
3176514766 = ga_gun01_mark01, Culverin (ga_gun01_mark01)
2639640782 = ga_gun01_mark02, Grand Culverin (ga_gun01_mark02)
2639628493 = ga_gun02_mark01, Musket (ga_gun02_mark01)
3176527053 = ga_gun02_mark02, Musketoon (ga_gun02_mark02)
2219681345 = gco_gun01_mark01, Pot-de-fer I (gco_gun01_mark01)
2756565569 = gco_gun01_mark02, Pot-de-fer II (gco_gun01_mark02)
2756569666 = gco_gun02_mark01, Carbine I (gco_gun02_mark01)
2219677250 = gco_gun02_mark02, Carbine II (gco_gun02_mark02)
2979767297 = gd_bh_gun01_mark01, Gunslinger Mk I (Class 2)
2442909697 = gd_bh_gun01_mark02, Gunslinger Mk II (Class 4)
2979777537 = gd_bh_gun01_mark03, Winchester Mk I (Class 6)
2442862593 = gd_bh_gun01_mark04, Winchester Mk II (Class 7)
2979738625 = gd_bh_gun01_mark05, Reaver Mk I (Class 8)
2442872833 = gd_bh_gun01_mark06, Reaver Mk II (Class 9)
2442825729 = gd_bh_gun01_mark08, Reaver Mk III
2442913794 = gd_bh_gun02_mark01, Brave Mk I (Class 2)
2979763202 = gd_bh_gun02_mark02, Brave Mk II (Class 4)
2442887170 = gd_bh_gun02_mark03, Warrior Mk I (Class 6)
2979752962 = gd_bh_gun02_mark04, Warrior Mk II (Class 7)
2442885122 = gd_bh_gun02_mark05, Buckshot (Class 9)
2979726338 = gd_bh_gun02_mark06, Warrior Mk III (gd_bh_gun02_mark06)
2492557440 = gd_gm_gun01_mark01, Sunblast A (Class 6)
3029406848 = gd_gm_gun01_mark02, Sunblast B (Class 7)
2492530816 = gd_gm_gun01_mark03, Skyblast A (Class 8)
3029462144 = gd_gm_gun01_mark04, Skyblast B (Class 9)
2490151175 = gd_im_gun01_mark01, Matterthief 1 (Class 3)
3027029255 = gd_im_gun01_mark02, Matterthief 2 (Class 4)
2490161415 = gd_im_gun01_mark03, Vampire 1 (Class 6)
3026990343 = gd_im_gun01_mark04, Vampire 2 (Class 7)
2490114311 = gd_im_gun01_mark05, Vampire 3 (Class 8)
3027000583 = gd_im_gun01_mark06, Vampire 4
2957771599 = gd_z_gun01_mark01, Helios (Class 3)
2420932431 = gd_z_gun01_mark02, Helios 2 (Class 4)
2957798223 = gd_z_gun01_mark03, Fury (Class 6)
2420934479 = gd_z_gun01_mark04, Fury 2 (Class 7)
2957808463 = gd_z_gun01_mark05, Fury 3 (Class 8)
2957835087 = gd_z_gun01_mark07, Fury 4
2420979535 = gd_z_gun01_mark08, Fury 5
2829931779 = ku_gun01_mark01, Scrambler 1 (Class 5)
2293049603 = ku_gun01_mark02, Scrambler 2 (Class 6)
2829925635 = ku_gun01_mark03, Disinfector 1 (Class 7)
2293092611 = ku_gun01_mark04, Disinfector 2 (Class 8)
2829960451 = ku_gun01_mark05, Disinfector 3
2293045504 = ku_gun02_mark01, Sunfury 1 (Class 5)
2829935872 = ku_gun02_mark02, Sunfury 2 (Class 6)
2293068032 = ku_gun02_mark03, Sunfrenzy 1 (Class 7)
2829950208 = ku_gun02_mark04, Sunfrenzy 2 (Class 8)
2293074176 = ku_gun02_mark05, Sunfrenzy 3
3219265993 = li_gun01_mark01, Justice Mk I (Class 1)
2682414537 = li_gun01_mark02, Justice Mk II (Class 2)
3219288521 = li_gun01_mark03, Justice Mk III (Class 3)
2682428873 = li_gun01_mark04, Vengeance Mk I (Class 4)
3219294665 = li_gun01_mark05, Vengeance Mk II (Class 5)
2682451401 = li_gun01_mark06, Vengeance Mk III (Class 6)
3219317193 = li_gun01_mark07, Vengeance Mk IV
2682465737 = li_gun01_mark08, Vengeance Mk V
2682410442 = li_gun02_mark01, Lavablade Mk I (Class 1)
3219270090 = li_gun02_mark02, Lavablade Mk II (Class 2)
2682404298 = li_gun02_mark03, Lavablade Mk III (Class 3)
3219313098 = li_gun02_mark04, Magma Hammer Mk I (Class 4)
2682439114 = li_gun02_mark05, Magma Hammer Mk II (Class 5)
3219306954 = li_gun02_mark06, Magma Hammer Mk III (Class 6)
2682432970 = li_gun02_mark07, Magma Hammer Mk V
3219349962 = li_gun02_mark08, Magma Hammer Mk IV
2988961230 = mars_flier_stem_gun01, Marsflyer Stem I
3220302464 = mars_flier_stem_gun_a, Marsflyer Stem A
2683410048 = mars_flier_stem_gun_b, Marsflyer Stem B
3220275840 = mars_flier_stem_gun_c, Marsflyer Stem C
2683399808 = mars_flier_stem_gun_d, Marsflyer Stem D
2999896777 = nomad_gun01_mark04, Nomad Laser Type I
2463030985 = nomad_gun01_mark05, Nomad Laser Type II
2999886537 = nomad_gun01_mark06, Nomad Laser Type III
2463020745 = nomad_gun01_mark07, Lesser Nomad Laser Type I
2999941833 = nomad_gun01_mark08, Lesser Nomad Laser Type II
2463067849 = nomad_gun01_mark09, Nomad Bomber Laser
2854087375 = rh_gun01_mark01, Stealthblade Mk I (Class 6)
2317194959 = rh_gun01_mark02, Stealthblade Mk II (Class 7)
2854060751 = rh_gun01_mark03, Hornviper Mk I (Class 8)
2317184719 = rh_gun01_mark04, Hornviper Mk II (Class 9)
2317199052 = rh_gun02_mark01, Flamecurse Mk I (Class 6)
2854083276 = rh_gun02_mark02, Flamecurse Mk II (Class 7)
2317209292 = rh_gun02_mark03, Firekiss Mk I (Class 8)
2854036172 = rh_gun02_mark04, Firekiss Mk II (Class 9)
2851971011 = special_gun01, ONYX (Class 10)
2315117507 = special_gun02, BLOODSTONE (Class 10)
2851993539 = special_gun03, JADE (Class 10)
2315066307 = special_gun04, DIAMONDBACK (Class 10)
2851934147 = special_gun05, IRON HAMMER (Class 10)
2315088835 = special_gun06, SILVER FIRE (Class 10)
2851956675 = special_gun07, GOLDEN BLADE (Class 10)
2315037635 = special_gun08, BLUE BLAZE (Class 10)
2851913667 = special_gun09, DARK BLOSSOM (Class 10)
2314832841 = special_gun10, WILD FIRE (Class 10)
2851708873 = special_gun11, THOR'S HAMMER (Class 10)
2314855369 = special_gun12, PROMETHEUS (Class 10)
2851731401 = special_gun13, GUARDIAN (Class 10)
2314804169 = special_gun14, CERBERUS (Class 10)
2851672009 = special_gun15, ARCHANGEL (Class 10)
2314826697 = special_gun16, DEFILER
2851694537 = special_gun17, EXCALIBUR
2314775497 = special_gun18, TWILIGHT
2851651529 = special_gun19, LAZURITE
2308279235 = special_gun20, DELUSION
2845155267 = special_gun21, HAMMERFALL
2639905100 = special_nomad_gun01, Nomad Energy Blaster (Class 10)
3176774988 = special_nomad_gun02, Nomad Energy Cannon (Class 10)
3024599373 = missile01_mark01, Javelin Missile Launcher (Class 1)
2487743822 = missile02_mark01, Stalker Missile Launcher (Class 1)
3024613711 = missile03_mark01, Eraser Missile Launcher (Class 1)
3024587086 = missile02_mark02, Windstalker Launcher (Class 3)
2487731533 = missile01_mark02, Slingshot Missile Launcher (Class 3)
2487717199 = missile03_mark02, Sweeper Missile Launcher (Class 4)
3024605517 = missile01_mark03, Catapult Missile Launcher (Class 5)
2487721294 = missile02_mark03, Moonstalker Missile Launcher (Class 5)
2487696717 = missile01_mark04, Lancer Missile Launcher (Class 7)
3024580942 = missile02_mark04, Sunstalker Missile Launcher (Class 7)
3024591183 = missile03_mark03, Neutralizer Missile Launcher (Class 7)
2487706958 = missile02_mark05, Firestalker Missile Launcher (Class 9)
3024562509 = missile01_mark05, Cannonball Missle Launcher (Class 9)
3046463744 = dsy_nomad_missile01, Nomad Missile Launcher Type I
2487711055 = missile03_mark04, Paralyzer Missile Launcher (Class 10)
2654862403 = dsy_twister, Sidewinder Missile Launcher
2509579520 = dsy_nomad_missile02, Nomad Missile Type II
3046453504 = dsy_nomad_missile03, Nomad Missile Type III
